"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case is to validate and test  object type is editable and save the editable object type with special characters","1192","This test case is to validate and test  object type is editable and save the editable object type with special characters","tests.scenarios.ontology","Fri Dec 13 23:08:14 IST 2024","passed","Fri Dec 13 23:08:15 IST 2024","","test_object_types","",""
"This test is to verify the scenario with dependency and branching rules","12172","Test to Verify scenario with dependency and branching rules","tests.scenarios.job","Fri Dec 13 20:27:03 IST 2024","passed","Fri Dec 13 20:27:15 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This test is to validate the audit logs for single select parameter execution","1257","Test to validate audit logs for single select parameter execution","tests.scenarios.job_audits","Fri Dec 13 23:04:52 IST 2024","failed","Fri Dec 13 23:04:54 IST 2024","TestJobActionAuditLogs","test_audits_of_parameter_execution","",""
"This testcase tests if decrease property task actions added on task gets triggered at completion of the task during job execution","29044","Test to verify that the Decrease Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:11:10 IST 2024","passed","Fri Dec 13 22:11:39 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test is to validate the audit logs for resuming a task","1239","Test to validate audit logs for resuming a task","tests.scenarios.job_audits","Fri Dec 13 23:05:19 IST 2024","failed","Fri Dec 13 23:05:21 IST 2024","TestJobActionAuditLogs","test_job_action_audit_logs","",""
"These testcase test adding all types of task actions on task","22781","Test to verify that User should be able to add all type of Task Action on the task","tests.scenarios","Fri Dec 13 19:22:38 IST 2024","passed","Fri Dec 13 19:23:01 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests that the decrease property task actions added on task does not gets triggered at completion of the task during job execution with optional parameters","25571","Test to verify that the decrease Property Task Actions does not get triggered with optional parameters","tests.scenarios.job","Fri Dec 13 22:12:33 IST 2024","passed","Fri Dec 13 22:12:59 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case is to create new prototype with bulk verification and self verification enabled","13624","Test to create new prototype with bulk verification and self verification enabled","tests.scenarios","Fri Dec 13 18:29:48 IST 2024","passed","Fri Dec 13 18:30:01 IST 2024","TestBulkVerification","test_bulk_verification","",""
"This test is to validate the audit logs for resource parameter execution","2329","Test to validate audit logs for resource parameter execution","tests.scenarios.job_audits","Fri Dec 13 23:05:00 IST 2024","passed","Fri Dec 13 23:05:03 IST 2024","TestJobActionAuditLogs","test_audits_of_parameter_execution","",""
"This testcase tests that user can execute the job with least count in number parameter with constant value","23177","Test to verify that user can execute job with least count in number parameter with constant value","tests.scenarios.job","Fri Dec 13 21:15:54 IST 2024","passed","Fri Dec 13 21:16:17 IST 2024","TestLeastCount","test_least_count_execution","",""
"This test case tests adding least count to number parameter with linked parameter value and publish it","14464","Test to add least count to number parameter with linked parameter value","tests.scenarios","Fri Dec 13 19:02:18 IST 2024","passed","Fri Dec 13 19:02:32 IST 2024","TestLeastCount","test_least_count","",""
"This testcase tests if Set relation task actions added on task gets triggered at start of the task during job execution","21755","Test to verify that the Set relation Task Actions works as expected during execution at start","tests.scenarios.job","Fri Dec 13 22:22:06 IST 2024","failed","Fri Dec 13 22:22:28 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests executing the parameters and completing the job with recalled global prototype","13814","Test to complete the job with recalled global prototype","tests.scenarios.job","Fri Dec 13 21:06:38 IST 2024","passed","Fri Dec 13 21:06:52 IST 2024","TestJobExecution","test_job_execution","",""
"This test case tests deleting the captured image during the execution of the job","10169","Test to verify that user can delete captured image during job execution","tests.scenarios.job","Fri Dec 13 21:12:23 IST 2024","passed","Fri Dec 13 21:12:33 IST 2024","TestJobExecution","test_job_execution","",""
"These testcase test adding Create Object action type with all optional parameter mapping","15336","Test to add Create Object action type with all optional parameter mapping","tests.scenarios","Fri Dec 13 19:56:33 IST 2024","passed","Fri Dec 13 19:56:48 IST 2024","TestTaskActions","test_task_actions","",""
"This test is to verify if the dependent prerequisite task is skipped then consider the prerequisite task as completed","12681","Test to verify if the dependent prerequisite task is skipped then consider the prerequisite task as completed","tests.scenarios.job","Fri Dec 13 20:25:04 IST 2024","passed","Fri Dec 13 20:25:17 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This testcase tests completing the job by skipping the optional parameters with self verification enabled","11254","Test to verify that user can complete the job by skipping the optional parameters with self verification enabled","tests.scenarios.job","Fri Dec 13 21:28:16 IST 2024","passed","Fri Dec 13 21:28:27 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This testcase tests that user can execute job with solo task lock on a task in a prototype with both verification enabled","0","Test to verify that user can execute job with solo task lock on a task in a prototype with both verification enabled","tests.scenarios.job","Fri Dec 13 22:02:10 IST 2024","skipped","Fri Dec 13 22:02:10 IST 2024","TestSoloTaskLockExecution","test_solo_task_lock_execution","",""
"This test case tests adding all parameters to checklist with recurrence and publish it","0","Test to create a new process with all the Parameters mapped to the task with recurrence and publish it","tests.scenarios","Fri Dec 13 19:36:22 IST 2024","skipped","Fri Dec 13 19:36:22 IST 2024","TestRecurrence","test_recurrence_task_action","",""
"This testcases test that a user can complete a job for a process having interlocks with date property and task start trigger","24115","Test user can complete a job for a process with interlocks having date property and task start trigger","tests.scenarios.job","Fri Dec 13 20:43:19 IST 2024","failed","Fri Dec 13 20:43:43 IST 2024","TestInterlocksExecution","test_interlocks_execution","",""
"This test case tests start job and verify in jobs ongoing tab","11212","Test to start job and verify in jobs ongoing tab","tests.scenarios.job","Fri Dec 13 21:11:59 IST 2024","passed","Fri Dec 13 21:12:10 IST 2024","TestJobExecution","test_job_execution","",""
"This test case tests creating a new job from the process with configured Create Object action mapping","16616","Test to create a new job with configured Create Object action mapping","tests.scenarios.job","Fri Dec 13 20:23:25 IST 2024","passed","Fri Dec 13 20:23:42 IST 2024","TestCreateJobs","test_create_jobs","",""
"This testcase tests if set property task actions with multi resource added on task gets triggered at completion of the task during job execution","30256","Test to verify that the Set Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:31:25 IST 2024","failed","Fri Dec 13 22:31:55 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test is to verify the execution of a job with scheduling at start task level","23583","Test to verify the execution of a job with scheduling at start task level","tests.scenarios.job","Fri Dec 13 21:53:50 IST 2024","passed","Fri Dec 13 21:54:14 IST 2024","TestSingleSelectDropdownOptions","test_scheduling_execution","",""
"This test is to validate that the prototype can be revised by the user who is not involved in prototype creation","7886","Test to validate prototype can be revised by user who is not involved in prototype creation","tests.scenarios","Fri Dec 13 19:35:22 IST 2024","passed","Fri Dec 13 19:35:30 IST 2024","TestPrototypeWithRoleRestriction","test_prototype_with_role_restriction","",""
"This testcase verifies that user can save single select dropdown with parameterized load options at Set Property action after process revision","162506","Test to verify user can save single select dropdown with parameterized load options at Set Property action after process revision","tests.scenarios","Fri Dec 13 19:41:05 IST 2024","passed","Fri Dec 13 19:43:47 IST 2024","TestSingleSelectDropdownOptions","test_single_select_load_options","",""
"This test case tests whether the prototype is created at the global level","6623","Test to check validate the global prototype","tests.scenarios","Fri Dec 13 18:47:49 IST 2024","passed","Fri Dec 13 18:47:56 IST 2024","","test_global_prototype","",""
"This testcase tests that user who is assigned to the job with solo task lock cannot complete the job if the task is not started by the user","0","Test to validate error message that the user who is assigned to the job with solo task lock cannot complete the job if the task is not started by the user","tests.scenarios.job","Fri Dec 13 22:02:10 IST 2024","skipped","Fri Dec 13 22:02:10 IST 2024","TestSoloTaskLockExecution","test_solo_task_lock_execution","",""
"This testcase tests that user can execute the job with peer verification","36694","Test to verify that user can execute job with peer verification","tests.scenarios.job","Fri Dec 13 21:35:31 IST 2024","passed","Fri Dec 13 21:36:08 IST 2024","TestParameterVerification","test_parameter_verification","",""
"These testcase test adding Increase property task action in task with trigger set at the start of task using optional parameters","14643","Test to add Increase property task action with trigger set at the start of task","tests.scenarios","Fri Dec 13 19:17:33 IST 2024","passed","Fri Dec 13 19:17:48 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests that if the Create Object Task Actions gets triggered mapping after process revision during job execution","30568","Test to verify that the Create Object Task Actions works as expected at mapping after process revision during execution","tests.scenarios.job","Fri Dec 13 22:50:33 IST 2024","passed","Fri Dec 13 22:51:03 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests that the increase property task actions configured using mandatory linked number parameter gets triggered at completion of the task during job execution","29933","Test to verify that the Increase Property Task Actions works as expected with linked number parameters at completion of the task","tests.scenarios.job","Fri Dec 13 22:09:11 IST 2024","passed","Fri Dec 13 22:09:41 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case validates assigned reviewer role of global prototype when submitted for review","2244","Test to Verify User Selection for global prototype Assignment","tests.scenarios","Fri Dec 13 18:47:58 IST 2024","passed","Fri Dec 13 18:48:00 IST 2024","","test_global_prototype","",""
"This testcase tests that user can execute the job with least count in should be parameter with self verification enabled","0","Test to verify least count in should be parameter with self verification enabled","tests.scenarios.job","Fri Dec 13 21:18:18 IST 2024","skipped","Fri Dec 13 21:18:18 IST 2024","TestLeastCount","test_least_count_execution","",""
"This test case validates error when user tries to delete the cjf parameter which is used in configuring actions","24826","Test to validate error when user tries to delete the parameter which is used in configuring actions","tests.scenarios","Fri Dec 13 18:41:44 IST 2024","passed","Fri Dec 13 18:42:09 IST 2024","TestDeleteParameterValidations","test_delete_parameter_validations","",""
"This test case is to create assets logs for object type with resource properties","1299","This test case is to create assets logs for object type with resource properties","tests.scenarios.ontology","Fri Dec 13 23:07:33 IST 2024","passed","Fri Dec 13 23:07:34 IST 2024","","test_object","",""
"This testcase tests that if the Create Object Task Actions gets triggered with number mapping at the completion start of the during job execution","22467","Test to verify that the Create Object Task Actions works as expected at with number mapping during execution","tests.scenarios.job","Fri Dec 13 22:44:48 IST 2024","passed","Fri Dec 13 22:45:11 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case validates error when user deletes number or should be parameter that are used in calculation parameter","1870","Test to validate error when user deletes number or should be parameter that are used in calculation","tests.scenarios","Fri Dec 13 18:38:06 IST 2024","passed","Fri Dec 13 18:38:08 IST 2024","TestDeleteParameterValidations","test_delete_parameter_validations","",""
"This testcase tests that facility admin can complete the should be parameter deviation with stating the reason","0","Test to verify that facility admin can complete the deviation with stating the reason","tests.scenarios.job","Fri Dec 13 21:57:57 IST 2024","skipped","Fri Dec 13 21:57:57 IST 2024","TestShouldBeDeviation","test_should_be_deviation","",""
"This testcase tests completing the job by completing the task present in the process","25435","Test to verify that user can complete the job by completing the task present inside the proces","tests.scenarios.job","Fri Dec 13 20:59:30 IST 2024","passed","Fri Dec 13 20:59:56 IST 2024","TestJobExecution","test_job_execution","",""
"This test case tests publishing a revised process with both verifications","13645","Test to submit a revised process with both verifications","tests.scenarios","Fri Dec 13 19:29:46 IST 2024","passed","Fri Dec 13 19:30:00 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These testcase test adding Decrease property task action at completion of task in global prototype","16100","Test to add Decrease property task action at completion of task in global prototype","tests.scenarios","Fri Dec 13 18:55:38 IST 2024","passed","Fri Dec 13 18:55:54 IST 2024","","test_global_prototype","",""
"This test case tests the error when user tries to start the task having task executor lock enabled before completing the can not be executor task","13099","Test to validate that user get error when user tries to start the task having task executor lock enabled before completing the can not be executor task","tests.scenarios.job","Fri Dec 13 23:00:12 IST 2024","passed","Fri Dec 13 23:00:25 IST 2024","TestTaskExecutorLockExecution","test_task_executor_lock_execution","",""
"This test is to validate the audit logs for multi resource parameter execution","1263","Test to validate audit logs for multi resource parameter execution","tests.scenarios.job_audits","Fri Dec 13 23:05:03 IST 2024","failed","Fri Dec 13 23:05:04 IST 2024","TestJobActionAuditLogs","test_audits_of_parameter_execution","",""
"This testcase tests if set property task actions added on task gets triggered at start of the task during job execution","25324","Test to verify that the Set Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:20:31 IST 2024","broken","Fri Dec 13 22:20:57 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests that user can execute the job with least count in number parameter with linked parameter value and peer verification enabled","16210","Test to verify least count in number parameter with linked parameter value and peer verification enabled","tests.scenarios.job","Fri Dec 13 21:21:03 IST 2024","passed","Fri Dec 13 21:21:20 IST 2024","TestLeastCount","test_least_count_execution","",""
"These test case tests adding number parameter with least count and linked parameter value and constant value and both verifications enabled","6708","Test to add number parameter with least count and linked parameter value and both verifications enabled","tests.scenarios","Fri Dec 13 19:02:32 IST 2024","passed","Fri Dec 13 19:02:39 IST 2024","TestLeastCount","test_least_count","",""
"These Testcases test that user can configure chained dependency in global prototype","7823","Test to validate that user can configure chained dependency in global prototype","tests.scenarios","Fri Dec 13 18:46:15 IST 2024","passed","Fri Dec 13 18:46:23 IST 2024","TestDependencies","test_dependency","",""
"This testcase tests if set property task actions gets triggered with date parameterized at completion of task","20120","Test to verify that the Set Property Task Actions works as expected during execution with date parameterized at completion of task","tests.scenarios.job","Fri Dec 13 22:55:43 IST 2024","passed","Fri Dec 13 22:56:03 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests if decrease property task actions with multi resource added on task gets triggered at completion of the task during job execution","30755","Test to verify that the Decrease Property Task Actions works as expected during execution","tests.scenarios.job","Fri Dec 13 22:29:24 IST 2024","passed","Fri Dec 13 22:29:54 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This testcase tests completing the job by executing optional parameters with both the verification enabled","34090","Test to verify that user can complete the job by executing the optional parameters with both the verification enabled","tests.scenarios.job","Fri Dec 13 21:39:30 IST 2024","passed","Fri Dec 13 21:40:05 IST 2024","TestParameterVerification","test_parameter_verification","",""
"These testcase test adding set relation action type at completion of task","18303","Test to add Set Relation action type at completion of task","tests.scenarios","Fri Dec 13 19:21:08 IST 2024","passed","Fri Dec 13 19:21:27 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case verifies that User should create solo task lock on task and add material instructions in the task","6690","Test to verify that User should create solo task lock on task and add material instructions in the task","tests.scenarios","Fri Dec 13 19:47:59 IST 2024","passed","Fri Dec 13 19:48:06 IST 2024","TestSoloTaskLock","test_solo_task_lock","",""
"This testcase test adding filters in resource parameter mapped to cjf with value as existing parameter and constants","15945","Test to add filters in resource parameter mapped to cjf","tests.scenarios","Fri Dec 13 19:07:47 IST 2024","passed","Fri Dec 13 19:08:03 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests that user can recall the parameter with multiple peer verification","17081","Test to verify that user can recall the parameter with multiple peer verification","tests.scenarios.job","Fri Dec 13 21:50:50 IST 2024","passed","Fri Dec 13 21:51:08 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This testcase tests that user can execute job with timed action present and solo task lock on a task in a prototype","12012","Test to verify that user can execute job with timed action present and solo task lock on a task in a prototype","tests.scenarios.job","Fri Dec 13 22:04:36 IST 2024","passed","Fri Dec 13 22:04:48 IST 2024","TestSoloTaskLockExecution","test_solo_task_lock_execution","",""
"This test is to validate the audit logs for date parameter execution","1252","Test to validate audit logs for date parameter execution","tests.scenarios.job_audits","Fri Dec 13 23:04:58 IST 2024","failed","Fri Dec 13 23:04:59 IST 2024","TestJobActionAuditLogs","test_audits_of_parameter_execution","",""
"This testcase verifies that user can load the multi select dropdown options from object properties","10925","Test to verify that user can load the multi select dropdown options from object properties","tests.scenarios","Fri Dec 13 19:02:52 IST 2024","passed","Fri Dec 13 19:03:03 IST 2024","TestMultiSelectDropdownOptions","test_multi_select_load_options","",""
"This testcase tests that the set property task actions added on task does not get triggered atcompletion of the task when optional parameters are not executed","28605","Test to verify that the Set Property Task Actions does not get triggered with optional parameters","tests.scenarios.job","Fri Dec 13 22:20:03 IST 2024","passed","Fri Dec 13 22:20:31 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test case tests adding all parameters to the prototype with parameter verification enabled and publish it","9025","Test to add parameters with self and peer verification enabled","tests.scenarios","Fri Dec 13 19:06:52 IST 2024","passed","Fri Dec 13 19:07:01 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This testcase tests pausing the task","11514","Test to verify that user can pause the task","tests.scenarios.job","Fri Dec 13 21:13:07 IST 2024","passed","Fri Dec 13 21:13:19 IST 2024","TestJobExecution","test_job_execution","",""
"This testcase test to verify that user can filter the parameter with verification status rejected and requested by filter in verification tab","158444","Test to verify that user can filter the parameter with verification status rejected and requested by filter in verification tab","tests.scenarios.job","Fri Dec 13 21:46:45 IST 2024","passed","Fri Dec 13 21:49:24 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This testcase verifies that user can execute the job for the process with cjf single select dropdown parameter mapping with load options linked with resource parameter cjf parameter","19420","Test to verify that user can execute the job for the process with cjf single select dropdown parameter mapping with load options linked with resource parameter cjf parameter","tests.scenarios.job","Fri Dec 13 22:01:27 IST 2024","passed","Fri Dec 13 22:01:47 IST 2024","TestSingleSelectDropdownOptions","test_single_select_dropdown_load_option_execution","",""
"This testcase tests completing the task by executing all the parameters present in the task","23613","Test to verify that user can complete the task by executing all the parameters present in the task","tests.scenarios.job","Fri Dec 13 20:56:57 IST 2024","passed","Fri Dec 13 20:57:21 IST 2024","TestJobExecution","test_job_execution","",""
"This testcase tests initiating correction, submitting the correction and validating in correctionpage if its in awaiting review state","17746","Test to verify that user can initiate correction, submit the correction and validate incorrection page if its in awaiting review state","tests.scenarios.job","Fri Dec 13 20:20:45 IST 2024","passed","Fri Dec 13 20:21:03 IST 2024","TestCorrectionExecution","test_correction_execution","",""
"This test case tests adding Create Object action type with mapping after process revision","19172","Test to add Create Object action type with mapping after process revision","tests.scenarios","Fri Dec 13 19:56:48 IST 2024","passed","Fri Dec 13 19:57:08 IST 2024","TestTaskActions","test_task_actions","",""
"This test case tests global prototype by adding all parameters to create job form and submit for review","9144","Test to create a global prototype with Parameters mapped to create job form","tests.scenarios","Fri Dec 13 18:48:32 IST 2024","passed","Fri Dec 13 18:48:41 IST 2024","","test_global_prototype","",""
"This test case tests deleting the interlocks configured on task","6446","Test to delete the interlocks configured on task","tests.scenarios","Fri Dec 13 18:34:09 IST 2024","passed","Fri Dec 13 18:34:15 IST 2024","TestConfigureConditions","test_configure_conditions","",""
"This test case tests validation of reviewer for global prototype is able to provide review","2651","Test to validate reviewer is able to provide review","tests.scenarios","Fri Dec 13 18:48:00 IST 2024","passed","Fri Dec 13 18:48:03 IST 2024","","test_global_prototype","",""
"This test case validates that user can configure branching rules to hide the task which is configured as has to be and can not be in task executor lock","8315","Test to validate that user can configure branching rules to hide the task which is configured as has to be and can not be in task executor lock","tests.scenarios","Fri Dec 13 20:05:49 IST 2024","passed","Fri Dec 13 20:05:57 IST 2024","TestTaskExecutorLock","test_task_executor_lock","",""
"This testcase tests that if the Create Object Task Actions gets triggered with cjf parameter mapping during job execution","28807","Test to verify that the Create Object Task Actions works as expected at with cjf parameter mapping during execution","tests.scenarios.job","Fri Dec 13 22:52:23 IST 2024","passed","Fri Dec 13 22:52:52 IST 2024","TestTaskAutomationActions","test_task_automation_actions","",""
"This test is to verify if the dependent prerequisite task is completed with exception then consider the prerequisite task as completed","12883","Test to verify if the dependent prerequisite task is completed with exception then consider the prerequisite task as completed","tests.scenarios.job","Fri Dec 13 20:24:40 IST 2024","passed","Fri Dec 13 20:24:53 IST 2024","TestDependencyExecution","test_dependency_execution","",""
"This test case is to Verify user is able to search property of an object type with property name in the object types properties","1745","This test case is to Verify user is able to search property of an object type with property name","tests.scenarios.ontology","Fri Dec 13 23:07:57 IST 2024","passed","Fri Dec 13 23:07:59 IST 2024","","test_object_property","",""
"This testcase tests completing the job by skipping the optional parameters with both the verification enabled","21639","Test to verify that user can complete the job by skipping the optional parameters with both the verification enabled","tests.scenarios.job","Fri Dec 13 21:29:25 IST 2024","passed","Fri Dec 13 21:29:47 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test is to verify the execution of a job with scheduling at start task level and both verification enabled","21330","Test to verify the execution of a job with scheduling at start task level and both verification enabled","tests.scenarios.job","Fri Dec 13 21:55:55 IST 2024","passed","Fri Dec 13 21:56:16 IST 2024","TestSingleSelectDropdownOptions","test_scheduling_execution","",""
"These testcase test adding Create Object action type at the start of the task in global prototype","11119","Test to add Create Object action type at the start of the task in global prototype","tests.scenarios","Fri Dec 13 18:58:57 IST 2024","passed","Fri Dec 13 18:59:08 IST 2024","","test_global_prototype","",""
"This testcase tests that user can execute the job with least count in number parameter with constant value","24724","Test to verify that user can execute job with least count in number parameter with constant value","tests.scenarios.job","Fri Dec 13 21:16:17 IST 2024","passed","Fri Dec 13 21:16:42 IST 2024","TestLeastCount","test_least_count_execution","",""
"These Testcases test that user can configure task dependency with configure actions triggered at complete of the task in global prototype","12690","Test to validate that user can configure task dependency with configure actions triggered at complete of the task in global prototype","tests.scenarios","Fri Dec 13 18:47:06 IST 2024","passed","Fri Dec 13 18:47:18 IST 2024","TestDependencies","test_dependency","",""
"This test case validates view info details of prototype","1496","Test to validate info of prototype","tests.scenarios","Fri Dec 13 19:23:08 IST 2024","passed","Fri Dec 13 19:23:09 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These Testcases test that after deleting the task it should be removed from the dependency list on global prototype","1528","Test to validate that after deleting the task it should be removed from the dependency list on global prototype","tests.scenarios","Fri Dec 13 18:46:30 IST 2024","failed","Fri Dec 13 18:46:32 IST 2024","TestDependencies","test_dependency","",""
"This testcase tests if the value of the parameter linked to the resource parameter which itself is linked to another resource parameter gets correctly populated ","30465","Test to verify that the value of Linked parameter is correctly populated when it is linked to linked resource parameter","tests.scenarios.job","Fri Dec 13 21:10:49 IST 2024","passed","Fri Dec 13 21:11:20 IST 2024","TestJobExecution","test_job_execution","",""
"These testcase test adding Increase property task action in task","17767","Test to add Increase property task action with trigger set at the completion of task","tests.scenarios","Fri Dec 13 19:16:45 IST 2024","passed","Fri Dec 13 19:17:03 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These testcase test adding Create Object action type at start trigger with multi resource selector and task dependency in global prototype","11870","Test to add Create Object action type at start trigger with multi resource selector and task dependency in global prototype","tests.scenarios","Fri Dec 13 18:45:43 IST 2024","passed","Fri Dec 13 18:45:55 IST 2024","TestDependencies","test_dependency","",""
"These Testcases test that user can add or remove task while adding dependency on task","7442","Test to validate that user can add or remove task while adding dependency on task","tests.scenarios","Fri Dec 13 18:43:07 IST 2024","passed","Fri Dec 13 18:43:14 IST 2024","TestDependencies","test_dependency","",""
"These Testcases test that user can configure task dependency on task and click on Dependency icon and able to view the added dependencies","7024","Test to verify that user the author can configure task dependency and click on Dependency icon and able to view the added dependencies","tests.scenarios","Fri Dec 13 18:42:53 IST 2024","passed","Fri Dec 13 18:43:00 IST 2024","TestDependencies","test_dependency","",""
"This testcase tests completing the job by executing optional parameters with both the verification enabled","36105","Test to verify that user can complete the job by executing the optional parameters with both the verification enabled","tests.scenarios.job","Fri Dec 13 21:40:05 IST 2024","passed","Fri Dec 13 21:40:41 IST 2024","TestParameterVerification","test_parameter_verification","",""
"This test case tests publishing a revised process with peer verification","13792","Test to submit a revised process with peer verification","tests.scenarios","Fri Dec 13 19:29:32 IST 2024","passed","Fri Dec 13 19:29:46 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"This test case tests adding all parameters to checklist with task action scheduling condition at start task and publish it","14554","Test to create a new process with all the Parameters mapped to the task with task action scheduling condition at start task","tests.scenarios","Fri Dec 13 19:39:02 IST 2024","passed","Fri Dec 13 19:39:16 IST 2024","TestSchedulingTask","test_scheduling_task_actions","",""
"This test case tests creating a new job from the process with scheduling it","9048","Test to create a new job with scheduling","tests.scenarios.job","Fri Dec 13 20:22:59 IST 2024","passed","Fri Dec 13 20:23:08 IST 2024","TestCreateJobs","test_create_jobs","",""
"This test case validates view activities details of published prototype","67023","Test to validate activities of published prototype","tests.scenarios","Fri Dec 13 19:23:09 IST 2024","passed","Fri Dec 13 19:24:16 IST 2024","TestPrototypeAndParameter","test_prototype_and_parameter","",""
"These test case tests adding should be parameter with least count enabled and peer verifications","0","Test to add should be parameter with least count enabled and peer verifications enabled","tests.scenarios","Fri Dec 13 19:02:11 IST 2024","skipped","Fri Dec 13 19:02:11 IST 2024","TestLeastCount","test_least_count","",""
"This testcase validates user can view the error on should be parameter deviation when approval is pending and user tries to complete the task","0","Test to verify that user can view the error on should be parameter deviation when approval is pending and user tries to complete the task","tests.scenarios.job","Fri Dec 13 21:57:57 IST 2024","skipped","Fri Dec 13 21:57:57 IST 2024","TestShouldBeDeviation","test_should_be_deviation","",""
